week,Unnamed: 0,Unnamed: 0.1,distance,time,cumulative_distance,cumulative_time,cumulative_hours,%_of_10000,month,year,distance_km,cumulative_distance_km
51,2408,2408,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,0.0,5266.708999999999
99,4739,4739,0.0,0.0,14600915.0,86046.58999999997,1434.1098333333332,14.292833333333332,56,14147,0.0,14600.914999999997
79,3752,3752,0.0,0.0,10516338.0,58956.38000000002,982.6063333333327,9.847996666666665,21,14147,0.0,10516.338000000002
53,2506,2506,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,67,14140,0.0,5266.708999999999
52,2457,2457,0.0,0.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,0.0,5266.708999999999
49,2310,2310,0.0,0.0,5224709.0,29621.34000000001,493.68899999999996,4.942490000000001,62,14140,0.0,5224.708999999999
43,2016,2016,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
42,1967,1967,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
41,1918,1918,0.0,0.0,4892559.0,27887.09000000001,464.78483333333327,4.652981666666667,49,14140,0.0,4892.559
38,1771,1771,0.0,0.0,4745209.0,27138.09000000001,452.30150000000003,4.528148333333333,42,14140,0.0,4745.208999999999
36,1673,1673,0.0,0.0,4701809.0,26928.09000000001,448.80150000000003,4.493148333333334,42,14140,0.0,4701.809
13,532,532,0.0,0.0,1140699.0,6010.970000000001,100.18283333333335,1.0036949999999993,84,14133,0.0,1140.699
101,688,688,0.0,0.0,2100845.0,12362.469999999998,206.04116666666656,2.053333333333333,8,2021,0.0,2100.845
10,385,385,0.0,0.0,1056699.0,5555.970000000001,92.59949999999999,0.9278616666666663,84,14133,0.0,1056.699
9,336,336,0.0,0.0,1056699.0,5555.970000000001,92.59949999999999,0.9278616666666663,78,14133,0.0,1056.699
61,412,412,1009.0,5.3,929572.0,5238.660000000001,87.31100000000002,0.8742433333333334,11,2020,1.009,929.572
6,30,30,3500.0,25.0,92207.0,494.42,8.240333333333334,0.08267,11,2019,3.5,92.207
26,1176,1176,4300.0,30.0,3472999.0,20281.27,338.0211666666666,3.384411666666666,21,14140,4.3,3472.9990000000003
33,1519,1519,5000.0,21.05,4502809.0,25852.72000000001,430.8786666666667,4.313453333333333,35,14140,5.0,4502.809
12,483,483,5500.0,30.0,1124199.0,5920.970000000001,98.68283333333335,0.9886949999999992,84,14133,5.5,1124.199
46,2163,2163,6000.0,30.0,5104309.0,29007.09000000001,483.4515,4.839648333333335,56,14140,6.0,5104.309
50,2359,2359,6000.0,30.0,5266709.0,29831.34000000001,497.18899999999996,4.97749,63,14140,6.0,5266.708999999999
48,2261,2261,6000.0,31.45,5188709.0,29432.640000000007,490.544,4.91064,56,14140,6.0,5188.708999999999
37,1722,1722,6200.0,30.0,4745209.0,27138.09000000001,452.30150000000003,4.528148333333333,42,14140,6.2,4745.208999999999
11,434,434,6500.0,35.0,1102199.0,5800.970000000001,96.68283333333335,0.9686949999999992,84,14133,6.5,1102.199
35,1624,1624,7000.0,35.0,4673809.0,26788.09000000001,446.46816666666666,4.4698150000000005,35,14140,7.0,4673.809
39,1820,1820,8800.0,46.0,4771609.0,27276.09000000001,454.6015,4.551148333333334,42,14140,8.8,4771.6089999999995
91,4347,4347,9340.0,49.64,13165448.0,75163.21999999997,1252.7203333333327,12.555003333333332,42,14147,9.34,13165.447999999999
81,3850,3850,10000.0,53.4,10672355.0,59801.610000000015,996.6934999999994,9.989335,28,14147,10.0,10672.355
1,1,1,10019.0,57.32,15019.0,85.51,1.4251666666666667,0.0142516666666666,20,4038,10.019,15.019
96,4592,4592,10480.0,52.69,14241768.0,83941.85999999997,1399.0309999999995,13.944166666666666,49,14147,10.48,14241.768
47,2212,2212,11200.0,56.3,5177509.0,29374.89000000001,489.5815,4.900948333333333,56,14140,11.2,5177.508999999999
54,2555,2555,11510.0,60.0,5323959.0,30131.34000000001,502.18899999999996,5.02749,70,14140,11.51,5323.959
